0005435372110,9891,6,11D
0005435838975,5995,15,10E
0005435423700,10928,89,35E
0005433101280,7947,133,30C
0005433867776,4766,14,4D
0005435706114,2450,6,4C
0005435706115,2450,41,16C
0005433867776,32675,36,21D
0005432328074,3129,50,20F
0005432359741,6365,31,10B
0005435790266,6991,2,2A
0005435790267,6991,8,21D
0005432328074,31265,18,5A
0005434022884,443,49,20B
0005434022883,443,64,25E
0005432706449,2957,12,8D
0005432706450,2957,19,12A
0005435808109,1942,9,7D
0005434550606,266,106,26F
0005434550605,266,222,46C
0005432663023,6492,19,11D
0005435372110,5297,38,17D
0005435808109,23178,26,20D
0005432034629,8455,13,7F
0005432034627,8455,37,14F
0005432034628,8455,39,16A
0005433192919,18545,6,3C
0005433192917,18545,14,9A
0005433192918,18545,32,17D
0005434550606,10560,5,2D
0005434550605,10560,36,9D
0005433342103,11096,4,1F
0005433342102,11096,75,16C
0005432660797,6019,17,9A
0005434407173,26987,2,1D
0005434407174,26987,28,8C
0005433151107,20111,69,23E
0005435423700,5359,127,29A
0005432660797,18144,3,3B
0005433101280,130,6,7D
0005433342103,17038,33,14B
0005433342102,17038,118,39E
0005434407173,7064,63,14B
0005434407174,7064,101,22B
0005435838975,18058,6,5C
0005432660797,26316,21,16E
0005434550606,27765,11,5A
0005434550605,27765,36,15C
0005433867776,32591,10,5C
0005433867776,14523,9,5B
0005432663023,21841,40,19C
0005434023206,435,2,1B
0005434023207,435,135,38G
0005434022883,12649,41,16A
0005434022884,12649,79,29E
0005434550606,9825,33,12A
0005434550605,9825,92,21D
0005434067064,7766,3,1A
0005434067063,7766,159,30C
0005435790266,26014,2,2C
0005435790267,26014,6,7A
0005432663023,26326,66,18D
0005435706114,27026,8,3F
0005435706115,27026,29,12A
0005432359741,20995,67,14C
0005434448294,9616,57,17E
0005434448293,9616,58,18C
0005434067064,30695,53,12A
0005434067063,30695,103,21B
0005432328074,31128,21,8E
0005432527326,7737,159,28C
0005435424469,10924,122,25J
0005435424470,10924,311,49F
0005434448294,29117,14,5A
0005434448293,29117,20,7A
0005433202287,12609,15,5B
0005432328074,21068,80,19F
0005432081476,5575,61,14E
0005432081477,5575,84,19B
0005433202287,23252,43,22D
0005432706449,30018,24,6C
0005432706450,30018,48,11A
0005433846486,5552,19,6A
0005433036154,24086,31,12E
0005433036155,24086,33,12G
0005433036153,24086,87,22D
0005435808109,29483,16,5C
0005433342102,1045,8,2F
0005433342103,1045,94,27G
0005434993985,4298,54,17E
0005433342102,17122,18,5A
0005433342103,17122,34,7F
0005432604244,6441,13,4C
0005434407174,20299,13,4C
0005434407173,20299,56,14D
0005432604244,21451,7,2C
0005435808109,23114,9,3A
0005434407173,26920,15,4E
0005434407174,26920,35,8C
0005434067064,30596,197,35B
0005434067063,30596,312,50F
0005432660797,17861,3,2C
0005433192919,1375,6,2D
0005433192917,1375,31,9C
0005433192918,1375,57,16D
0005432891016,12034,30,8C
0005432891015,12034,53,13D
0005433763203,9354,33,13G
0005434067063,12824,89,20D
0005434067064,12824,95,21E
0005432663023,17853,25,10E
0005432660797,26425,1,1A
0005433986060,4157,17,8E
0005433986059,4157,40,16C
0005433151107,1498,8,3D
0005434023207,12668,5,2A
0005434023206,12668,13,3G
0005432133240,5336,64,16G
0005432133238,5336,234,37G
0005432133239,5336,273,42J
0005434448293,17730,2,1C
0005434448294,17730,17,5D
0005432663023,26270,13,4H
0005432663023,8495,21,10E
0005432660797,18054,41,16D
0005435424470,5328,253,39G
0005435424469,5328,278,42J
0005433986060,25908,2,1G
0005433986059,25908,105,37E
0005434448293,28975,32,10D
0005434448294,28975,60,16F
0005433368030,24839,51,13D
0005433368031,24839,59,15A
0005433368030,21717,31,8A
0005433368031,21717,48,12D
0005432528534,7739,27,11H
0005432528533,7739,262,42J
0005432747729,391,19,8A
0005433202287,1967,12,3D
0005433846486,13840,26,7C
0005434993985,27331,2,1C
0005432891015,385,6,2C
0005432891016,385,66,14E
0005433202287,23384,7,2D
0005432527326,30620,46,13G
0005435614475,5332,195,34A
0005433036154,2139,51,14E
0005433036155,2139,82,20H
0005433036153,2139,165,37F
0005435425341,10896,121,24F
0005433634101,3237,101,21A
0005434480541,957,14,5C
0005434480542,957,27,20A
0005435788796,4177,16,7D
0005433986395,4177,49,19D
0005433634101,9269,111,24D
0005432529127,7738,308,46E
0005432383559,4557,50,14E
0005432383559,30505,13,4E
0005433986060,25670,5,3C
0005433986059,25670,13,5E
0005432604244,31663,11,3C
0005432747729,12084,20,6C
0005433763203,26252,134,37D
0005433986059,24246,17,5G
0005433986060,24246,103,35B
0005433986395,25949,50,24A
0005432383559,31239,53,12F
0005432604244,21355,33,19A
0005433435011,26194,70,17A
0005433435011,26730,16,5A
0005432262420,114,103,31C
0005432528533,30624,25,11C
0005432528534,30624,68,18D
0005435286696,8555,75,17A
